latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
21.40956,72.98869,299.44,0.42,0.46,2024-12-26,2023,N,VIIRS,n,2,289.33,0.53,N,0
21.4313,72.97644,324.44,0.37,0.58,2024-12-28,2125,N,VIIRS,n,2,289.48,1.65,N,0
21.72972,72.66319,341.86,0.53,0.42,2024-12-29,838,N,VIIRS,n,2,300.81,8.12,D,0
21.59419,72.99146,331.22,0.38,0.36,2024-12-30,819,N,VIIRS,n,2,301.96,2.21,D,0
21.43353,72.97606,319.28,0.39,0.36,2024-12-30,2048,N,VIIRS,n,2,291.51,1.65,N,0
