latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
21.82086,72.63824,334.73,0.43,0.46,2025-12-21,849,N,VIIRS,n,2,293.98,2.49,D,0
21.6171,72.83884,334.26,0.4,0.37,2025-12-22,830,N,VIIRS,n,2,307.23,3.03,D,0
21.62449,72.80432,307.46,0.4,0.37,2025-12-22,2059,N,VIIRS,n,2,285.17,0.78,N,0
21.5485,72.94279,330.06,0.45,0.39,2025-12-23,811,N,VIIRS,l,2,304.27,1.08,D,0
21.62499,72.80201,342.14,0.46,0.39,2025-12-23,811,N,VIIRS,n,2,309.75,27.9,D,0
21.81967,72.65121,333.48,0.46,0.39,2025-12-23,811,N,VIIRS,n,2,307.66,3.01,D,0
21.82248,72.64605,333.16,0.46,0.39,2025-12-23,811,N,VIIRS,n,2,307.17,2.31,D,0
21.43588,72.94035,299.48,0.54,0.51,2025-12-24,2021,N,VIIRS,n,2,286.93,0.64,N,0
