latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
21.68409,72.56192,346.58,0.33,0.55,2024-11-10,856,N,VIIRS,n,2,301.54,13.1,D,0
21.68441,72.56512,367,0.33,0.55,2024-11-10,856,N,VIIRS,h,2,302.87,13.1,D,0
21.68921,72.56136,335.53,0.33,0.55,2024-11-10,856,N,VIIRS,n,2,298.69,2.68,D,0
21.68953,72.56456,334.63,0.33,0.55,2024-11-10,856,N,VIIRS,n,2,298.84,2.68,D,0
21.75805,72.71558,334.6,0.33,0.56,2024-11-10,856,N,VIIRS,l,2,307.05,2.63,D,0
21.76192,72.71386,336.06,0.33,0.56,2024-11-10,856,N,VIIRS,n,2,305.91,1.84,D,0
