latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
21.69975,72.54162,334.41,0.42,0.37,2023-10-04,813,N,VIIRS,l,2,308.51,2.66,D,0
21.60384,72.99537,311.04,0.4,0.37,2023-10-04,2042,N,VIIRS,n,2,296.13,0.59,N,0
21.69209,72.60488,346.24,0.41,0.37,2023-10-04,2042,N,VIIRS,n,2,298.76,14.1,N,0
21.69549,72.60545,333.68,0.41,0.37,2023-10-04,2042,N,VIIRS,n,2,305.13,14.1,N,0
21.69606,72.60152,309.73,0.41,0.37,2023-10-04,2042,N,VIIRS,n,2,297.74,14.1,N,0
21.69365,72.60606,344.93,0.48,0.48,2023-10-05,754,N,VIIRS,n,2,308.16,22.69,D,0
