latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
21.83209,72.86146,338.39,0.56,0.43,2023-10-10,800,N,VIIRS,n,2,307.78,5.94,D,0
21.83438,72.85842,340.06,0.56,0.43,2023-10-10,800,N,VIIRS,n,2,309.96,6.81,D,0
21.836,72.86063,347.46,0.56,0.43,2023-10-10,800,N,VIIRS,n,2,309.5,5.94,D,0
21.83094,72.86374,334.06,0.36,0.57,2023-10-11,741,N,VIIRS,n,2,299.28,2.6,D,0
21.835,72.8618,367,0.36,0.57,2023-10-11,741,N,VIIRS,h,2,300.1,4.87,D,0
