event_id,event_timestamp,event_latitude,event_longitude,classification,landcover_class,cropland_fraction,forest_fraction,built_up_fraction,emission_source,emissions_eligibility,eligibility_reason
daf2f2ba-e781-5acb-9d07-9d1e119741cc,2023-05-17 07:48:00+00:00,21.693145,72.654805,mixed_or_uncertain,tree_cover,0.222541507024266,0.722222222222222,0.0530012771392082,,not_eligible,No supported PHOENIX emissions classification.
6c9c5085-7184-5a1a-97ea-04d6bdd12f41,2023-05-17 08:39:00+00:00,21.48607,72.7504,mixed_or_uncertain,cropland,0.988186462324393,0.0118135376756066,0.0,,not_eligible,No supported PHOENIX emissions classification.
da834a7b-75d7-517f-a53e-a2132144bad9,2023-05-17 08:39:00+00:00,22.01501,72.95403,mixed_or_uncertain,cropland,0.541507024265645,0.458492975734355,0.0,,not_eligible,No supported PHOENIX emissions classification.
67ba8adb-555d-5df4-96c1-6fdd63137805,2023-05-18 08:20:00+00:00,21.90595,72.99567,mixed_or_uncertain,cropland,0.905172413793103,0.0657726692209451,0.0,,not_eligible,No supported PHOENIX emissions classification.
6eb22206-d721-5ad6-89a4-1b5662ba4123,2023-05-18 09:10:00+00:00,22.09801,72.88967,mixed_or_uncertain,cropland,0.716794380587484,0.283205619412516,0.0,,not_eligible,No supported PHOENIX emissions classification.
8e70ea53-20d5-5f5f-af2f-40fd20513816,2023-05-18 09:10:00+00:00,21.69711,72.65343,mixed_or_uncertain,tree_cover,0.231800766283525,0.768199233716475,0.0,,not_eligible,No supported PHOENIX emissions classification.
f72dd1be-5b65-5796-9d1c-cf0e9bea7971,2023-05-18 09:10:00+00:00,22.037665,72.789945,mixed_or_uncertain,cropland,0.859514687100894,0.140485312899106,0.0,,not_eligible,No supported PHOENIX emissions classification.
748a6b3e-20a7-55f5-bde1-249c346e10b6,2023-05-20 07:43:00+00:00,21.95094,72.79194,mixed_or_uncertain,grassland,0.307471264367816,0.587164750957854,0.00191570881226054,,not_eligible,No supported PHOENIX emissions classification.
ae583ec7-5082-5489-9dfb-bd263dffb35b,2023-05-20 07:43:00+00:00,21.99234,72.85525,mixed_or_uncertain,cropland,0.807790549169859,0.183908045977011,0.00830140485312899,,not_eligible,No supported PHOENIX emissions classification.
10688b4f-3c25-5634-9402-eb4c618778eb,2023-05-20 08:32:00+00:00,21.8776,72.8252,mixed_or_uncertain,cropland,0.924010217113665,0.0759897828863346,0.0,,not_eligible,No supported PHOENIX emissions classification.
85fcbd7c-f447-5214-b33b-e6febf9eeee7,2023-05-21 08:13:00+00:00,21.84603,72.98584,mixed_or_uncertain,cropland,0.944763729246488,0.0552362707535121,0.0,,not_eligible,No supported PHOENIX emissions classification.
5185bfb7-318c-5c03-bd76-85a8124a0b2f,2023-05-21 09:04:00+00:00,22.0405,72.812595,mixed_or_uncertain,cropland,0.958492975734355,0.0408684546615581,0.000638569604086846,,not_eligible,No supported PHOENIX emissions classification.
7e9f3c98-110a-59fc-93d9-b773cc2c3f61,2023-05-21 09:04:00+00:00,21.371645,72.7191,mixed_or_uncertain,cropland,0.911877394636015,0.0881226053639847,0.0,,not_eligible,No supported PHOENIX emissions classification.
