emission_id,event_id,classification,landcover_class,emission_factor_class,observation_count,fre_mj,dry_matter_burned_kg,co2_kg,ch4_kg,n2o_kg,frp_to_dm_factor_kg_per_mj,fre_method,emission_method
1aec0f25-2d39-59b6-a545-5be598211ceb,3f5dc92c-6eb2-5e04-8ca2-705e0e0eb7cc,agricultural_burn,cropland,agricultural_residue,2,271151.7,99783.8256,151172.495784,269.41632912,6.984867792,0.368,trapezoidal_observation_integration,FRP_to_FRE_to_dry_matter_then_IPCC_2019_factors
fa27ecc9-e168-528f-aa20-931456185a18,0a09c81d-ef39-51ae-a0b9-70cfbb97f70b,wildfire,grassland,savanna_grassland,1,44712.0,16454.016,26540.327808,37.8442368,3.4553433599999996,0.368,singleton_frp_1h_assumption,FRP_to_FRE_to_dry_matter_then_IPCC_2019_factors
39c71be0-70d1-5fc9-88dc-b266b77206b4,b46e44f6-4f1f-5877-a968-7f37297c9f6f,agricultural_burn,cropland,agricultural_residue,2,20222.4,7441.8432,11274.392448,20.09297664,0.5209290240000001,0.368,trapezoidal_observation_integration,FRP_to_FRE_to_dry_matter_then_IPCC_2019_factors
0a0f5f02-2bb8-56ef-92a8-760f282549bc,c632469a-c943-52ef-85a2-3cf534c52ac7,agricultural_burn,cropland,agricultural_residue,2,21168.0,7789.824,11801.583359999999,21.0325248,0.54528768,0.368,fallback_frp_1h_assumption,FRP_to_FRE_to_dry_matter_then_IPCC_2019_factors
d55a1b5c-c760-53d8-95d1-b7c015304908,de69a437-3478-53fd-9b89-3042b23c8035,agricultural_burn,cropland,agricultural_residue,1,47268.0,17394.624,26352.855359999998,46.965484800000006,1.2176236800000002,0.368,singleton_frp_1h_assumption,FRP_to_FRE_to_dry_matter_then_IPCC_2019_factors
6bfb3a82-64ba-58bb-b4c5-ead4ca5cc7d3,e0f35e71-8104-5019-b7ad-4e48c0b56cbc,agricultural_burn,cropland,agricultural_residue,2,31392.000000000004,11552.256000000001,17501.667840000002,31.191091200000006,0.8086579200000003,0.368,fallback_frp_1h_assumption,FRP_to_FRE_to_dry_matter_then_IPCC_2019_factors
8b288270-2711-5222-86f9-5b21eece0b91,c4fb9336-870a-558c-8d1b-5ca51dd57202,agricultural_burn,cropland,agricultural_residue,2,1795.1999999999998,660.6335999999999,1000.8599039999999,1.7837107199999997,0.046244352,0.368,trapezoidal_observation_integration,FRP_to_FRE_to_dry_matter_then_IPCC_2019_factors
9122325f-62c5-5d22-9e2a-a83570caf0e9,a2ed530c-6cb3-5e87-96f8-58ccff15f93d,agricultural_burn,cropland,agricultural_residue,2,16056.0,5908.608,8951.541120000002,15.953241600000002,0.41360256000000006,0.368,fallback_frp_1h_assumption,FRP_to_FRE_to_dry_matter_then_IPCC_2019_factors
b7ff8fac-d8c0-5d27-9536-18c481e9c295,b1274ff9-13cf-5744-8b64-4844347f3ba6,agricultural_burn,cropland,agricultural_residue,3,5293.2,1947.8976,2951.064864,5.259323520000001,0.136352832,0.368,trapezoidal_observation_integration,FRP_to_FRE_to_dry_matter_then_IPCC_2019_factors
7b2ebb2b-c948-5ddf-9196-57e66712a823,d0a03665-5e79-5e50-9138-4b32d3af90c4,agricultural_burn,cropland,agricultural_residue,2,16776.0,6173.568,9352.95552,16.6686336,0.43214976000000005,0.368,fallback_frp_1h_assumption,FRP_to_FRE_to_dry_matter_then_IPCC_2019_factors
aba80b7e-05e0-50b2-b973-e0ce69bfb538,a049a731-aa73-5dc8-b045-126f8ed64813,agricultural_burn,cropland,agricultural_residue,3,1577.3999999999999,580.4831999999999,879.4320479999998,1.56730464,0.040633824,0.368,trapezoidal_observation_integration,FRP_to_FRE_to_dry_matter_then_IPCC_2019_factors
74f466a3-40d3-543e-930e-ad115043f6c4,6cbc4525-7324-5f28-a86d-8422de15e678,agricultural_burn,cropland,agricultural_residue,1,37080.0,13645.44,20672.8416,36.842688,0.9551808,0.368,singleton_frp_1h_assumption,FRP_to_FRE_to_dry_matter_then_IPCC_2019_factors
ad99fcb0-7b5b-5220-adce-dbfcc594fff6,1e48ca21-08a7-5a38-a575-180cc6831e4b,agricultural_burn,cropland,agricultural_residue,1,57852.0,21289.536,32253.64704,57.48174720000001,1.4902675200000002,0.368,singleton_frp_1h_assumption,FRP_to_FRE_to_dry_matter_then_IPCC_2019_factors
34cc9154-c61f-5018-9a79-d836b5a2dbe0,1f8aa9a9-80ea-58af-8568-5da455e983bc,agricultural_burn,cropland,agricultural_residue,2,22528.5,8290.488,12560.08932,22.3843176,0.58033416,0.368,trapezoidal_observation_integration,FRP_to_FRE_to_dry_matter_then_IPCC_2019_factors
0dd9bee1-e669-5d82-ba19-ba0121598d46,8620368f-8879-5868-9699-f1dc95d7fe76,agricultural_burn,cropland,agricultural_residue,3,16128.000000000002,5935.104,8991.682560000001,16.024780800000002,0.4154572800000001,0.368,fallback_frp_1h_assumption,FRP_to_FRE_to_dry_matter_then_IPCC_2019_factors
58799d3d-6069-56a0-9be5-c39d2bbb70c3,98e22870-2dbb-53d6-998f-1a2e3dd6a725,wildfire,tree_cover,tropical_forest,2,17640.0,6491.5199999999995,10256.6016,44.14233599999999,1.2983040000000001,0.368,fallback_frp_1h_assumption,FRP_to_FRE_to_dry_matter_then_IPCC_2019_factors
3161fc54-f721-57a9-8a11-9a4751d58d1c,1f978976-b656-5b30-8cb5-323d083999af,agricultural_burn,cropland,agricultural_residue,6,6012.0,2212.416,3351.8102400000002,5.973523200000001,0.15486912000000003,0.368,fallback_frp_1h_assumption,FRP_to_FRE_to_dry_matter_then_IPCC_2019_factors
4648e9a2-8d23-5138-b804-14d1917ec54b,26559304-31c0-5b32-9181-a0e350b5ce65,agricultural_burn,cropland,agricultural_residue,6,17892.0,6584.256,9975.14784,17.7774912,0.46089792000000007,0.368,fallback_frp_1h_assumption,FRP_to_FRE_to_dry_matter_then_IPCC_2019_factors
c2d8bdb5-3a9d-5209-8c08-beec05cce330,3b717651-8172-5fa3-a430-5bc34051160b,agricultural_burn,cropland,agricultural_residue,2,39528.0,14546.304,22037.65056,39.27502080000001,1.01824128,0.368,fallback_frp_1h_assumption,FRP_to_FRE_to_dry_matter_then_IPCC_2019_factors
3c9b5df7-a2f7-5e35-9431-2bb56ba100a1,66a1400f-7f4d-5018-b2ae-aa2194c62538,wildfire,grassland,savanna_grassland,1,49932.0,18374.976,29638.836288,42.2624448,3.8587449599999997,0.368,singleton_frp_1h_assumption,FRP_to_FRE_to_dry_matter_then_IPCC_2019_factors
9fcbb7fd-4466-57aa-8745-74dc0eead652,7300f2bc-3cba-5187-ae95-f3c910f6cd80,agricultural_burn,cropland,agricultural_residue,3,54936.0,20216.448,30627.918719999998,54.58440960000001,1.41515136,0.368,fallback_frp_1h_assumption,FRP_to_FRE_to_dry_matter_then_IPCC_2019_factors
