latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
21.74213,72.73435,334.25,0.43,0.62,2023-01-21,902,N20,VIIRS,n,2,300.31,4.98,D,0
21.74346,72.73002,336.87,0.43,0.62,2023-01-21,902,N20,VIIRS,n,2,300.84,5.01,D,0
21.69465,72.59865,322.93,0.75,0.77,2023-01-21,1950,N20,VIIRS,n,2,286.8,2.94,N,0
21.69778,72.59844,323.64,0.75,0.77,2023-01-21,1950,N20,VIIRS,n,2,286.4,3.14,N,0
21.69401,72.60462,307.86,0.43,0.62,2023-01-21,2131,N20,VIIRS,n,2,286.63,0.88,N,2
21.52874,72.79876,343.31,0.43,0.46,2023-01-22,843,N20,VIIRS,n,2,300.18,3.75,D,0
21.58982,72.88021,342.74,0.44,0.46,2023-01-22,843,N20,VIIRS,n,2,301.22,4.53,D,0
21.90612,72.75555,341.44,0.43,0.46,2023-01-22,843,N20,VIIRS,n,2,301.96,2.95,D,2
21.77784,72.90156,301.71,0.4,0.37,2023-01-23,2053,N20,VIIRS,n,2,288.42,0.83,N,0
21.57076,72.86477,334.88,0.47,0.39,2023-01-24,806,N20,VIIRS,n,2,303.49,8.7,D,0
21.82341,72.91341,332.71,0.46,0.39,2023-01-24,806,N20,VIIRS,n,2,303.89,2.73,D,0
21.37984,72.9612,297.66,0.45,0.39,2023-01-24,2035,N20,VIIRS,n,2,285.96,0.51,N,0
21.53903,72.85766,298.97,0.45,0.39,2023-01-24,2035,N20,VIIRS,n,2,283.68,0.47,N,0
21.56265,72.91698,327.82,0.45,0.39,2023-01-24,2035,N20,VIIRS,n,2,287.54,2.1,N,0
21.75862,72.67183,347.86,0.59,0.53,2023-01-25,747,N20,VIIRS,n,2,302.33,8.81,D,0
22.04554,72.54463,333.38,0.6,0.53,2023-01-25,747,N20,VIIRS,n,2,300.3,5.32,D,0
