latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
22.02007,72.74921,331.2,0.46,0.47,2024-01-01,754,N20,VIIRS,n,2,301.76,2.75,D,0
21.35701,72.91452,305.91,0.44,0.46,2024-01-01,2022,N20,VIIRS,n,2,289.57,0.73,N,0
21.35745,72.91255,305.29,0.44,0.46,2024-01-01,2022,N20,VIIRS,n,2,289.38,0.69,N,0
21.68596,72.53332,304.04,0.53,0.42,2024-01-04,2106,N20,VIIRS,n,2,289.81,1.1,N,0
21.68506,72.53349,330.4,0.39,0.36,2024-01-05,819,N20,VIIRS,n,2,305.11,2.25,D,0
21.72001,72.69433,332.57,0.38,0.36,2024-01-05,819,N20,VIIRS,l,2,305.14,2.32,D,0
21.43468,72.9761,304.2,0.38,0.36,2024-01-05,2047,N20,VIIRS,n,2,289.15,0.62,N,0
21.6881,72.5332,314.83,0.38,0.36,2024-01-05,2047,N20,VIIRS,n,2,289.25,1.43,N,0
