latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
21.51289,72.95061,346.24,0.57,0.69,2023-04-16,729,N20,VIIRS,n,2,308.84,9.61,D,0
21.71128,72.54996,336.02,0.6,0.71,2023-04-16,729,N20,VIIRS,n,2,305.53,6.3,D,0
21.7176,72.54822,347.14,0.6,0.71,2023-04-16,729,N20,VIIRS,n,2,307.65,6.3,D,0
21.90494,72.99084,331.45,0.58,0.7,2023-04-16,909,N20,VIIRS,l,2,305.55,0.89,D,0
22.00894,72.75838,343.93,0.56,0.69,2023-04-16,909,N20,VIIRS,l,2,315,10.91,D,0
22.01179,72.75955,343.64,0.56,0.69,2023-04-16,909,N20,VIIRS,n,2,312.97,9.18,D,0
22.082,72.60089,350.74,0.55,0.68,2023-04-16,909,N20,VIIRS,n,2,317.57,20.8,D,0
22.08573,72.80328,345.16,0.56,0.69,2023-04-16,909,N20,VIIRS,n,2,314.56,8.89,D,0
22.08557,72.60281,343.98,0.55,0.68,2023-04-16,910,N20,VIIRS,l,2,316.02,18.99,D,0
22.08803,72.80569,340.13,0.56,0.69,2023-04-16,910,N20,VIIRS,l,2,313.28,8.95,D,0
21.89477,72.96538,342.25,0.57,0.52,2023-04-17,851,N20,VIIRS,l,2,315.35,6.49,D,0
21.64799,72.89978,337.22,0.45,0.39,2023-04-18,832,N20,VIIRS,l,2,310.99,4.67,D,0
21.71288,72.5479,338.94,0.44,0.38,2023-04-18,832,N20,VIIRS,l,2,311.54,16,D,0
21.73017,72.84015,341.18,0.45,0.39,2023-04-18,832,N20,VIIRS,l,2,312.44,11.38,D,0
21.73039,72.83883,338.5,0.45,0.39,2023-04-18,832,N20,VIIRS,l,2,311.58,11.71,D,0
22.05051,72.8591,348.01,0.45,0.39,2023-04-18,832,N20,VIIRS,n,2,313.46,11.48,D,0
21.83008,72.80399,312.19,0.45,0.39,2023-04-18,2100,N20,VIIRS,n,2,297.9,4.7,N,0
21.70591,72.77032,342.97,0.41,0.37,2023-04-19,813,N20,VIIRS,l,2,315.48,12,D,0
21.8974,72.77924,341.91,0.41,0.37,2023-04-19,813,N20,VIIRS,l,2,314.76,9.84,D,0
21.96143,72.61021,342.46,0.41,0.37,2023-04-19,813,N20,VIIRS,l,2,317.41,11.25,D,0
22.03588,72.59388,324.33,0.41,0.37,2023-04-19,2042,N20,VIIRS,n,2,298.32,2.51,N,0
22.03645,72.58996,330.06,0.41,0.37,2023-04-19,2042,N20,VIIRS,n,2,298.21,2.68,N,0
21.51384,72.95824,335.48,0.45,0.47,2023-04-20,754,N20,VIIRS,l,2,309.79,5.55,D,0
21.7284,72.778,344.4,0.46,0.47,2023-04-20,754,N20,VIIRS,l,2,314.49,17.13,D,0
22.01971,72.74847,345.65,0.46,0.47,2023-04-20,754,N20,VIIRS,l,2,317.51,10.75,D,0
