latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
21.68262,72.65658,331.87,0.44,0.38,2023-03-17,831,N20,VIIRS,l,2,302.37,1.44,D,0
21.70174,72.6814,346.73,0.41,0.37,2023-03-18,812,N20,VIIRS,n,2,307.99,7.03,D,0
21.70513,72.68076,338.01,0.41,0.37,2023-03-18,812,N20,VIIRS,n,2,306.82,4.58,D,0
21.68465,72.53545,323.45,0.41,0.37,2023-03-18,2041,N20,VIIRS,n,2,293.04,2.36,N,0
21.7051,72.87458,336.48,0.46,0.47,2023-03-19,754,N20,VIIRS,l,2,306.59,2.96,D,0
21.79457,72.67712,342.96,0.47,0.48,2023-03-19,754,N20,VIIRS,n,2,305.21,4.16,D,0
21.7958,72.67705,345.04,0.47,0.48,2023-03-19,754,N20,VIIRS,n,2,305.39,4.85,D,0
21.84847,72.73933,336.77,0.46,0.47,2023-03-19,754,N20,VIIRS,n,2,306.34,3.08,D,0
21.90584,72.75533,300.04,0.46,0.47,2023-03-19,2022,N20,VIIRS,n,2,288.64,0.22,N,2
21.8253,72.72355,331.37,0.47,0.64,2023-03-20,735,N20,VIIRS,l,2,304.83,1.86,D,0
22.04897,72.71046,355.83,0.34,0.56,2023-03-21,856,N20,VIIRS,n,2,305.46,7.1,D,0
22.04931,72.71381,346.25,0.34,0.56,2023-03-21,856,N20,VIIRS,n,2,302.71,6.14,D,0
