latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
21.90832,72.68187,308.85,0.44,0.39,2023-01-28,2100,N20,VIIRS,n,2,288.22,0.72,N,0
21.9089,72.68073,301.82,0.44,0.39,2023-01-28,2100,N20,VIIRS,n,2,288.19,0.29,N,0
21.89796,72.89965,351.25,0.4,0.37,2023-01-29,812,N20,VIIRS,n,2,296.92,4.63,D,0
21.99041,72.88287,343.83,0.4,0.37,2023-01-29,812,N20,VIIRS,n,2,296.23,3.66,D,0
22.00241,72.89261,333.1,0.4,0.37,2023-01-29,812,N20,VIIRS,n,2,296.8,2.01,D,0
21.56807,72.79839,324.77,0.4,0.37,2023-01-29,2041,N20,VIIRS,n,2,289.64,2.31,N,0
21.3989,72.78696,341.15,0.47,0.48,2023-01-30,753,N20,VIIRS,n,2,302.17,12.42,D,0
