latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
21.75421,72.61337,341.67,0.53,0.5,2023-12-13,850,N20,VIIRS,n,2,300.87,8.91,D,0
21.75587,72.61613,344.48,0.53,0.5,2023-12-13,850,N20,VIIRS,n,2,301.92,13.08,D,0
21.75941,72.618,331.32,0.53,0.5,2023-12-13,850,N20,VIIRS,n,2,299.71,8.91,D,0
21.35719,72.83413,299.65,0.46,0.39,2023-12-14,2100,N20,VIIRS,n,2,289.28,0.81,N,0
21.36762,72.94125,319.36,0.47,0.39,2023-12-14,2100,N20,VIIRS,n,2,290.88,2.31,N,0
21.53218,72.84584,333.07,0.41,0.37,2023-12-15,812,N20,VIIRS,n,2,303.61,1.63,D,0
21.5333,72.84584,332.88,0.41,0.37,2023-12-15,812,N20,VIIRS,n,2,302.08,1.82,D,0
21.77059,72.64526,334.91,0.41,0.37,2023-12-15,812,N20,VIIRS,n,2,304.48,3.23,D,0
21.87185,72.68271,342.62,0.41,0.37,2023-12-15,812,N20,VIIRS,n,2,303.44,2.86,D,0
21.88867,72.89174,338.32,0.4,0.37,2023-12-15,812,N20,VIIRS,n,2,302.69,4.47,D,0
21.8893,72.8956,355.72,0.4,0.37,2023-12-15,812,N20,VIIRS,l,2,305.07,10.02,D,0
21.88993,72.89945,367,0.4,0.37,2023-12-15,812,N20,VIIRS,h,2,302.74,10.02,D,0
21.89055,72.90331,356.21,0.4,0.37,2023-12-15,812,N20,VIIRS,l,2,301.93,7.92,D,0
21.89118,72.90717,344.14,0.4,0.37,2023-12-15,812,N20,VIIRS,n,2,301.08,7.92,D,0
21.89203,72.89111,340.52,0.4,0.37,2023-12-15,812,N20,VIIRS,n,2,302.62,4.47,D,0
21.89266,72.89497,355.48,0.4,0.37,2023-12-15,812,N20,VIIRS,l,2,305.17,10.02,D,0
21.89329,72.89883,356.1,0.4,0.37,2023-12-15,812,N20,VIIRS,l,2,303.52,10.02,D,0
21.89602,72.89435,340.76,0.4,0.37,2023-12-15,812,N20,VIIRS,n,2,301.25,3.19,D,0
21.89727,72.90206,335.96,0.4,0.37,2023-12-15,812,N20,VIIRS,n,2,301.8,4.15,D,0
21.99556,72.75209,343.13,0.41,0.37,2023-12-15,813,N20,VIIRS,n,2,303.94,4.85,D,0
