latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
21.39357,72.84974,334.12,0.53,0.42,2023-11-17,837,N20,VIIRS,n,2,305.16,2.2,D,0
21.39653,72.85215,336.39,0.53,0.42,2023-11-17,837,N20,VIIRS,n,2,306.35,4.98,D,0
21.47709,72.96547,335.58,0.53,0.42,2023-11-17,837,N20,VIIRS,n,2,304.98,4.27,D,0
21.80113,72.72437,331.49,0.52,0.42,2023-11-17,837,N20,VIIRS,n,2,305.94,1.57,D,0
22.03865,72.78618,331.84,0.53,0.42,2023-11-17,838,N20,VIIRS,l,2,304.01,1.85,D,0
21.45885,72.82996,334.5,0.38,0.36,2023-11-18,819,N20,VIIRS,n,2,303.99,2.67,D,0
21.53805,72.95845,335.5,0.55,0.43,2023-11-19,800,N20,VIIRS,n,2,301.89,4.69,D,0
21.7309,72.59996,333.34,0.57,0.43,2023-11-19,800,N20,VIIRS,n,2,301.72,14.07,D,0
21.73321,72.60681,339.93,0.57,0.43,2023-11-19,800,N20,VIIRS,n,2,300.11,7.24,D,0
21.73484,72.59913,337.24,0.57,0.43,2023-11-19,800,N20,VIIRS,n,2,301.73,14.07,D,0
21.73586,72.60458,350.95,0.57,0.43,2023-11-19,800,N20,VIIRS,n,2,303.52,14.07,D,0
21.56961,72.81568,340.73,0.54,0.42,2023-11-19,2029,N20,VIIRS,n,2,293.37,6.39,N,0
21.41512,72.87901,303.01,0.35,0.57,2023-11-20,2010,N20,VIIRS,n,2,291.46,0.29,N,0
21.74394,72.61096,352.91,0.75,0.77,2023-11-21,722,N20,VIIRS,n,2,296.32,12.34,D,0
21.74445,72.60957,341.98,0.75,0.77,2023-11-21,722,N20,VIIRS,n,2,295.83,10.73,D,0
21.73645,72.60531,347.46,0.43,0.62,2023-11-21,903,N20,VIIRS,n,2,290.19,5.36,D,0
21.73947,72.60381,349.59,0.43,0.62,2023-11-21,903,N20,VIIRS,n,2,290.48,8.76,D,0
21.73985,72.60796,348.31,0.43,0.62,2023-11-21,903,N20,VIIRS,n,2,289.9,5.68,D,0
21.74214,72.60475,344.85,0.43,0.62,2023-11-21,903,N20,VIIRS,n,2,289.58,6.22,D,0
21.7425,72.60891,338.32,0.43,0.62,2023-11-21,903,N20,VIIRS,n,2,289.45,5.15,D,0
21.74555,72.60742,332.09,0.43,0.62,2023-11-21,903,N20,VIIRS,n,2,289.34,5.68,D,0
21.749,72.68433,330.89,0.43,0.62,2023-11-21,903,N20,VIIRS,n,2,292.3,2.6,D,0
