latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
21.89079,72.78008,339.38,0.44,0.39,2024-11-18,829,N20,VIIRS,n,2,306.54,1.34,D,0
21.50048,72.86992,337.59,0.41,0.37,2024-11-19,810,N20,VIIRS,n,2,302.68,2.91,D,0
21.88821,72.89507,344.17,0.4,0.37,2024-11-19,811,N20,VIIRS,n,2,305.14,3.11,D,0
21.89221,72.89832,342.99,0.4,0.37,2024-11-19,811,N20,VIIRS,n,2,304.82,3.11,D,0
21.38172,72.74152,309.15,0.4,0.37,2024-11-19,2039,N20,VIIRS,n,2,291.07,0.77,N,0
21.60547,72.97338,332.49,0.46,0.47,2024-11-20,752,N20,VIIRS,n,2,299.93,2.75,D,0
21.39391,72.79935,304.56,0.45,0.47,2024-11-20,2021,N20,VIIRS,n,2,289.11,0.67,N,0
