latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
21.38654,72.91978,333.95,0.38,0.36,2024-01-21,818,N20,VIIRS,n,2,303.17,2.33,D,0
21.40588,72.9542,334.39,0.38,0.36,2024-01-21,818,N20,VIIRS,n,2,303.8,3.79,D,0
21.51221,72.93914,340.61,0.38,0.36,2024-01-21,818,N20,VIIRS,n,2,303.67,5.55,D,0
21.54749,72.97079,333.02,0.38,0.36,2024-01-21,818,N20,VIIRS,n,2,305.65,2.35,D,0
21.62325,72.97589,338.01,0.38,0.36,2024-01-21,818,N20,VIIRS,n,2,308.01,7.23,D,0
21.72563,72.69254,338.71,0.39,0.36,2024-01-21,819,N20,VIIRS,n,2,305.79,2.67,D,0
21.73075,72.72577,332.94,0.38,0.36,2024-01-21,819,N20,VIIRS,n,2,307.65,3.61,D,0
21.73132,72.72947,331.66,0.38,0.36,2024-01-21,819,N20,VIIRS,n,2,303.86,3.61,D,0
21.73189,72.73316,344.01,0.38,0.36,2024-01-21,819,N20,VIIRS,n,2,307.8,7.7,D,0
21.91404,72.72354,346.77,0.38,0.36,2024-01-21,819,N20,VIIRS,n,2,307.71,3.92,D,0
21.91937,72.69223,333,0.38,0.36,2024-01-21,819,N20,VIIRS,n,2,306.06,1.43,D,0
21.43164,72.97755,302.48,0.38,0.36,2024-01-21,2047,N20,VIIRS,n,2,283.66,1.5,N,0
21.43222,72.97388,327.87,0.38,0.36,2024-01-21,2047,N20,VIIRS,n,2,285.62,1.5,N,0
21.43493,72.97815,311.19,0.38,0.36,2024-01-21,2047,N20,VIIRS,n,2,284.57,1.5,N,0
21.62629,72.97377,297.5,0.38,0.36,2024-01-21,2047,N20,VIIRS,n,2,285.69,0.47,N,0
21.50351,72.95014,332.84,0.56,0.43,2024-01-22,800,N20,VIIRS,n,2,301.76,2.94,D,0
21.50459,72.95345,333,0.56,0.43,2024-01-22,800,N20,VIIRS,n,2,304.73,5.11,D,0
21.5094,72.93597,339.51,0.56,0.43,2024-01-22,800,N20,VIIRS,n,2,305.1,4.64,D,0
21.55794,72.82626,332.06,0.56,0.43,2024-01-22,800,N20,VIIRS,n,2,303.43,2.74,D,0
22.01622,72.72367,334.09,0.56,0.43,2024-01-22,800,N20,VIIRS,n,2,304.22,2.47,D,0
22.0169,72.72579,334.79,0.56,0.43,2024-01-22,800,N20,VIIRS,n,2,305.8,3.26,D,0
21.6258,72.97581,306.29,0.53,0.42,2024-01-22,2028,N20,VIIRS,n,2,287.03,0.91,N,0
21.37157,72.94005,296.67,0.53,0.42,2024-01-22,2029,N20,VIIRS,n,2,286.33,0.63,N,0
21.37541,72.94063,332.16,0.53,0.42,2024-01-22,2029,N20,VIIRS,n,2,285.89,3.68,N,0
21.43355,72.97533,296.45,0.53,0.42,2024-01-22,2029,N20,VIIRS,n,2,283.46,0.68,N,0
21.84772,72.61186,331.57,0.38,0.58,2024-01-23,741,N20,VIIRS,n,2,300.35,2.83,D,0
21.38968,72.91106,332.27,0.74,0.76,2024-01-24,722,N20,VIIRS,n,2,299.78,11.58,D,0
21.3907,72.91711,367,0.73,0.76,2024-01-24,722,N20,VIIRS,h,2,301.07,20.58,D,0
21.39136,72.91792,367,0.74,0.76,2024-01-24,722,N20,VIIRS,h,2,300.91,13.72,D,0
21.38816,72.91431,367,0.44,0.62,2024-01-24,902,N20,VIIRS,h,2,303.97,6.6,D,0
21.38905,72.91428,367,0.44,0.62,2024-01-24,902,N20,VIIRS,h,2,303.59,6.59,D,0
21.72863,72.64423,330.54,0.43,0.62,2024-01-24,903,N20,VIIRS,l,2,303.95,2.01,D,0
21.73433,72.64368,333.45,0.43,0.62,2024-01-24,903,N20,VIIRS,n,2,304.09,2.48,D,0
21.88718,72.78196,336.91,0.44,0.62,2024-01-24,903,N20,VIIRS,n,2,300.71,3.7,D,0
21.8887,72.78332,367,0.44,0.62,2024-01-24,903,N20,VIIRS,h,2,302.79,7.28,D,0
21.98535,72.76126,330.22,0.44,0.62,2024-01-24,903,N20,VIIRS,l,2,305.2,1.97,D,0
21.71406,72.67979,297.44,0.74,0.76,2024-01-24,1951,N20,VIIRS,n,2,284.24,0.64,N,0
21.40014,72.78902,356.13,0.43,0.46,2024-01-25,844,N20,VIIRS,n,2,309.46,15.36,D,0
21.47573,72.77173,345.17,0.43,0.46,2024-01-25,844,N20,VIIRS,n,2,303.9,3.17,D,0
21.48575,72.85896,336.9,0.43,0.46,2024-01-25,844,N20,VIIRS,n,2,307.96,2.41,D,0
21.5059,72.84784,341.65,0.43,0.46,2024-01-25,844,N20,VIIRS,n,2,308.92,4.77,D,0
21.51581,72.85929,341.67,0.43,0.46,2024-01-25,844,N20,VIIRS,n,2,307.82,7.38,D,0
21.69671,72.75257,346.21,0.43,0.46,2024-01-25,844,N20,VIIRS,n,2,305.35,7.09,D,0
21.80136,72.69307,343.07,0.43,0.46,2024-01-25,844,N20,VIIRS,n,2,311.37,6.06,D,0
22.02715,72.75275,352.41,0.43,0.46,2024-01-25,844,N20,VIIRS,n,2,312,21.73,D,0
21.79603,72.62329,320.56,0.43,0.46,2024-01-25,2112,N20,VIIRS,n,2,284.48,1.53,N,0
21.79682,72.61918,295.38,0.43,0.46,2024-01-25,2112,N20,VIIRS,n,2,282.76,1.01,N,0
21.36184,72.80671,297.48,0.45,0.47,2024-01-25,2113,N20,VIIRS,n,2,282.23,0.9,N,0
