latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
21.53461,72.98071,339.5,0.55,0.43,2024-05-15,838,N20,VIIRS,n,2,308.28,6.57,D,0
21.72549,72.65606,346.11,0.53,0.42,2024-05-15,838,N20,VIIRS,n,2,307.43,13.17,D,0
21.72935,72.65553,344.31,0.53,0.42,2024-05-15,838,N20,VIIRS,n,2,307.4,13.17,D,0
21.7563,72.93477,341.41,0.55,0.43,2024-05-15,838,N20,VIIRS,n,2,311.24,16.31,D,0
21.42249,72.9702,334.77,0.39,0.44,2024-05-15,2107,N20,VIIRS,n,2,299.56,10.54,N,0
21.42318,72.96654,319.36,0.39,0.44,2024-05-15,2107,N20,VIIRS,n,2,295.19,8.03,N,0
21.43368,72.97644,306.07,0.39,0.44,2024-05-15,2107,N20,VIIRS,n,2,294.45,2.91,N,0
21.41987,72.9705,336.52,0.38,0.36,2024-05-16,819,N20,VIIRS,n,2,306.5,3.83,D,0
21.42316,72.96994,336.33,0.38,0.36,2024-05-16,819,N20,VIIRS,n,2,304.86,4.25,D,0
21.61349,72.92499,336.1,0.38,0.36,2024-05-16,819,N20,VIIRS,l,2,308.22,0.67,D,0
21.97929,72.80397,341.16,0.38,0.36,2024-05-16,820,N20,VIIRS,l,2,312.47,8.68,D,0
21.95966,72.81435,347.73,0.54,0.42,2024-05-17,801,N20,VIIRS,n,2,312.65,24.54,D,0
21.6702,72.54145,367,0.37,0.58,2024-05-18,742,N20,VIIRS,h,2,307.3,9.4,D,0
21.79133,72.64895,338.75,0.36,0.57,2024-05-18,742,N20,VIIRS,n,2,308.15,7.41,D,0
22.09727,72.57129,349.34,0.36,0.57,2024-05-18,742,N20,VIIRS,n,2,310.58,16.27,D,0
22.01433,72.81683,332.91,0.7,0.75,2024-05-19,723,N20,VIIRS,n,2,300.11,2.64,D,0
21.59461,72.80241,330.91,0.45,0.63,2024-05-19,903,N20,VIIRS,l,2,302.57,4.53,D,0
21.9524,72.80279,353.97,0.46,0.63,2024-05-19,903,N20,VIIRS,n,2,304.47,7.62,D,0
21.95278,72.80725,348.51,0.46,0.63,2024-05-19,903,N20,VIIRS,n,2,304.8,7.62,D,0
21.43006,72.97457,317.18,0.48,0.65,2024-05-19,2132,N20,VIIRS,n,2,293.11,2.05,N,0
21.43116,72.97605,336.28,0.48,0.65,2024-05-19,2132,N20,VIIRS,n,2,293.66,4.58,N,0
21.43587,72.97607,322.23,0.48,0.65,2024-05-19,2132,N20,VIIRS,n,2,293.44,2.17,N,0
