latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
21.51576,72.92214,367,0.35,0.57,2023-04-06,857,N20,VIIRS,h,2,306.97,11.31,D,0
21.51617,72.92188,367,0.35,0.57,2023-04-06,857,N20,VIIRS,h,2,306.81,10.9,D,0
21.5185,72.83595,334,0.35,0.57,2023-04-06,857,N20,VIIRS,n,2,305.98,3.95,D,0
21.51882,72.83932,350.51,0.35,0.57,2023-04-06,857,N20,VIIRS,n,2,303.14,4.52,D,0
21.52403,72.83875,331.14,0.35,0.57,2023-04-06,857,N20,VIIRS,l,2,304.54,1.88,D,0
21.55622,72.95222,332.78,0.35,0.57,2023-04-06,857,N20,VIIRS,l,2,305.84,2.62,D,0
22.00516,72.81669,339.08,0.35,0.57,2023-04-06,857,N20,VIIRS,n,2,304.36,2.87,D,0
22.05189,72.63969,367,0.34,0.56,2023-04-06,857,N20,VIIRS,h,2,311.13,9.19,D,0
22.07638,72.57001,338.41,0.34,0.56,2023-04-06,857,N20,VIIRS,n,2,306.43,1.62,D,0
22.08022,72.55628,339.38,0.34,0.56,2023-04-06,857,N20,VIIRS,n,2,308.5,2.73,D,0
22.08154,72.56945,335.63,0.34,0.56,2023-04-06,857,N20,VIIRS,l,2,308.87,2.96,D,0
22.08571,72.55901,336.22,0.34,0.56,2023-04-06,857,N20,VIIRS,l,2,307.74,2.73,D,0
22.08604,72.5623,342.12,0.34,0.56,2023-04-06,857,N20,VIIRS,n,2,307.99,3.78,D,0
22.0912,72.56175,333.76,0.34,0.56,2023-04-06,857,N20,VIIRS,l,2,307.34,1.56,D,0
22.06586,72.6729,305.92,0.34,0.56,2023-04-06,2125,N20,VIIRS,n,2,277.94,1.78,N,0
22.06656,72.66967,305.21,0.34,0.56,2023-04-06,2125,N20,VIIRS,n,2,275.49,1.29,N,0
21.40202,72.66643,330.99,0.52,0.41,2023-04-07,838,N20,VIIRS,l,2,302.31,4.45,D,0
21.40203,72.66382,331.8,0.52,0.41,2023-04-07,838,N20,VIIRS,n,2,301.69,5.11,D,0
21.45203,72.66436,337.84,0.52,0.41,2023-04-07,838,N20,VIIRS,n,2,297.21,7.29,D,0
21.52252,72.97487,335.01,0.54,0.42,2023-04-07,838,N20,VIIRS,n,2,302.84,9.26,D,0
21.68592,72.53458,334.86,0.51,0.41,2023-04-07,838,N20,VIIRS,l,2,309.57,4.97,D,0
21.69615,72.6445,342.77,0.52,0.41,2023-04-07,838,N20,VIIRS,n,2,304.39,12.18,D,0
21.69932,72.63895,353.23,0.52,0.41,2023-04-07,838,N20,VIIRS,n,2,307.05,12.18,D,0
21.71493,72.88497,342.8,0.53,0.42,2023-04-07,838,N20,VIIRS,n,2,299.89,4.96,D,0
21.81488,72.63922,348.61,0.52,0.42,2023-04-07,838,N20,VIIRS,n,2,312.48,25.36,D,0
21.81869,72.63868,340.55,0.52,0.42,2023-04-07,838,N20,VIIRS,n,2,309.85,8.58,D,0
21.83787,72.67464,344.59,0.52,0.42,2023-04-07,838,N20,VIIRS,n,2,314.15,15.23,D,0
21.8385,72.67176,342.38,0.52,0.42,2023-04-07,838,N20,VIIRS,l,2,313.61,16.07,D,0
21.42463,72.78518,339.26,0.38,0.36,2023-04-08,819,N20,VIIRS,l,2,311.34,3.51,D,0
21.42849,72.78828,339.86,0.38,0.36,2023-04-08,819,N20,VIIRS,l,2,313.02,3.51,D,0
21.49029,72.98906,346.34,0.38,0.36,2023-04-08,819,N20,VIIRS,n,2,317.58,5.74,D,0
21.61847,72.93996,343.67,0.38,0.36,2023-04-08,819,N20,VIIRS,n,2,313.96,3.33,D,0
21.70395,72.74343,347.94,0.38,0.36,2023-04-08,819,N20,VIIRS,n,2,316.74,11.96,D,0
21.72395,72.67551,340.03,0.38,0.36,2023-04-08,819,N20,VIIRS,n,2,312.36,7.01,D,0
21.72724,72.67493,340.77,0.38,0.36,2023-04-08,819,N20,VIIRS,l,2,312.73,7.84,D,0
21.75881,72.8587,351.13,0.38,0.36,2023-04-08,819,N20,VIIRS,l,2,322.03,35.82,D,0
21.81721,72.7074,346.75,0.38,0.36,2023-04-08,819,N20,VIIRS,l,2,319.84,12.63,D,0
21.96903,72.56651,345.34,0.39,0.36,2023-04-08,819,N20,VIIRS,l,2,319.21,12.11,D,0
21.98967,72.52484,345.43,0.39,0.36,2023-04-08,819,N20,VIIRS,n,2,315.13,5.61,D,0
21.78972,72.62619,324.06,0.38,0.36,2023-04-08,2048,N20,VIIRS,n,2,293.5,2.04,N,0
21.79301,72.62678,304.62,0.38,0.36,2023-04-08,2048,N20,VIIRS,n,2,293.26,0.1,N,0
22.09172,72.58427,308.55,0.38,0.36,2023-04-08,2048,N20,VIIRS,n,2,287.55,0.76,N,0
21.42121,72.97147,337.93,0.55,0.43,2023-04-09,800,N20,VIIRS,l,2,310.3,4.01,D,0
21.68069,72.6001,333.79,0.57,0.43,2023-04-09,800,N20,VIIRS,l,2,308.22,3.64,D,3
21.43281,72.97687,311.36,0.53,0.42,2023-04-09,2029,N20,VIIRS,n,2,294.67,1.73,N,0
21.48826,72.80786,331.88,0.37,0.58,2023-04-10,741,N20,VIIRS,l,2,306.72,1.55,D,0
21.51318,72.92499,341.14,0.36,0.58,2023-04-10,741,N20,VIIRS,n,2,305.92,3.44,D,0
21.82257,72.76273,332.74,0.36,0.58,2023-04-10,741,N20,VIIRS,l,2,307.72,2.48,D,0
22.03538,72.786,336.84,0.36,0.57,2023-04-10,742,N20,VIIRS,l,2,311.28,4.9,D,0
22.06891,72.66306,337.37,0.37,0.58,2023-04-10,742,N20,VIIRS,l,2,310.73,3.64,D,0
22.06966,72.66651,338.1,0.37,0.58,2023-04-10,742,N20,VIIRS,l,2,311.59,3.09,D,0
22.07562,72.66868,336.37,0.37,0.58,2023-04-10,742,N20,VIIRS,l,2,311.09,3.09,D,0
21.93808,72.76179,310.03,0.36,0.57,2023-04-10,2010,N20,VIIRS,n,2,294.21,1.48,N,0
