latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
22.07271,72.89281,335.24,0.38,0.36,2024-11-08,817,N20,VIIRS,l,2,308.75,2.9,D,0
21.46034,72.92841,339.53,0.36,0.58,2024-11-10,739,N20,VIIRS,n,2,304.88,3.52,D,0
21.6827,72.56112,207.93,0.38,0.59,2024-11-10,739,N20,VIIRS,l,2,312.8,35.73,D,0
21.68347,72.56471,367,0.38,0.59,2024-11-10,739,N20,VIIRS,h,2,303.41,35.73,D,0
21.68543,72.55727,333.87,0.38,0.59,2024-11-10,739,N20,VIIRS,n,2,302.09,33.27,D,0
21.68622,72.56086,300,0.38,0.59,2024-11-10,739,N20,VIIRS,l,2,311.7,52.8,D,0
21.68701,72.56445,350.51,0.38,0.59,2024-11-10,739,N20,VIIRS,n,2,301.1,52.8,D,0
21.68799,72.55981,334.52,0.38,0.59,2024-11-10,739,N20,VIIRS,n,2,300.93,35.73,D,0
