latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
21.59012,72.96378,343.6,0.58,0.52,2024-04-05,747,N20,VIIRS,n,2,309.53,7.91,D,0
21.69592,72.97133,338.09,0.58,0.52,2024-04-05,747,N20,VIIRS,l,2,308.74,4.61,D,0
21.71252,72.7629,339.24,0.59,0.53,2024-04-05,747,N20,VIIRS,l,2,310.35,5.45,D,0
21.71328,72.76409,343.27,0.59,0.53,2024-04-05,747,N20,VIIRS,n,2,309.45,8.18,D,0
21.71869,72.67262,340.78,0.6,0.53,2024-04-05,747,N20,VIIRS,n,2,308.14,5.04,D,0
21.71987,72.67828,340.04,0.6,0.53,2024-04-05,747,N20,VIIRS,n,2,307.68,5.04,D,0
21.72004,72.67348,343.39,0.6,0.53,2024-04-05,747,N20,VIIRS,n,2,310.4,5.49,D,0
21.72343,72.6953,337.31,0.6,0.53,2024-04-05,747,N20,VIIRS,l,2,311.2,3.83,D,0
21.76686,72.61339,345.23,0.61,0.53,2024-04-05,747,N20,VIIRS,n,2,312.25,12.07,D,0
21.95764,72.55165,343.95,0.61,0.53,2024-04-05,747,N20,VIIRS,n,2,313.69,20.09,D,0
21.97103,72.81919,342.88,0.55,0.68,2024-04-06,909,N20,VIIRS,n,2,305.31,6.82,D,0
22.07566,72.65056,301.47,0.54,0.68,2024-04-06,2137,N20,VIIRS,n,2,289.73,0.64,N,0
21.68246,72.64622,351.75,0.53,0.5,2024-04-07,850,N20,VIIRS,n,2,312.64,20.75,D,0
21.79339,72.90576,338.18,0.55,0.51,2024-04-07,850,N20,VIIRS,l,2,312.65,4.31,D,0
21.62492,72.85741,339.03,0.44,0.39,2024-04-08,831,N20,VIIRS,n,2,308.31,4.07,D,0
21.80241,72.92026,347.5,0.45,0.39,2024-04-08,831,N20,VIIRS,n,2,314.93,10.93,D,0
21.80296,72.91931,346.92,0.45,0.39,2024-04-08,831,N20,VIIRS,n,2,315.9,9.83,D,0
21.97085,72.88276,347.24,0.45,0.39,2024-04-08,831,N20,VIIRS,n,2,317.93,10.67,D,0
22.00758,72.85957,343.01,0.45,0.39,2024-04-08,831,N20,VIIRS,l,2,317.98,4.84,D,0
21.73467,72.60246,341.45,0.41,0.37,2024-04-09,813,N20,VIIRS,l,2,316.01,8.72,D,0
