latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
21.37777,72.98251,331.49,0.58,0.52,2024-03-31,748,N20,VIIRS,l,2,304.51,3.88,D,0
21.66812,72.7725,337.73,0.59,0.53,2024-03-31,748,N20,VIIRS,l,2,311.07,5.99,D,0
21.63117,72.95483,340.18,0.62,0.71,2024-04-01,727,N20,VIIRS,n,2,304,5.93,D,0
21.63223,72.95223,331.47,0.62,0.71,2024-04-01,727,N20,VIIRS,l,2,303.85,4.37,D,0
21.89359,72.97128,307.09,0.53,0.67,2024-04-01,2135,N20,VIIRS,n,2,291.47,1.13,N,0
21.39302,72.82767,342.66,0.49,0.48,2024-04-02,847,N20,VIIRS,n,2,311.67,2.6,D,0
21.39883,72.67473,339.17,0.48,0.48,2024-04-02,847,N20,VIIRS,n,2,303.42,8.04,D,0
21.35059,72.76913,348.17,0.4,0.37,2024-04-03,827,N20,VIIRS,n,2,313.21,6.84,D,0
21.72293,72.80715,347.69,0.4,0.37,2024-04-03,827,N20,VIIRS,l,2,318.61,13.85,D,0
21.98507,72.76935,340.16,0.41,0.37,2024-04-03,827,N20,VIIRS,l,2,313.09,7.09,D,0
22.00036,72.70769,340.67,0.4,0.37,2024-04-03,827,N20,VIIRS,n,2,309.2,6.15,D,0
21.70069,72.71161,335.24,0.47,0.4,2024-04-04,806,N20,VIIRS,l,2,309.66,3.42,D,0
21.80749,72.76099,333.62,0.47,0.4,2024-04-04,806,N20,VIIRS,l,2,307.61,1.36,D,0
21.37058,72.76186,322.91,0.46,0.39,2024-04-04,2035,N20,VIIRS,n,2,293.45,2.02,N,0
21.69293,72.60389,308.57,0.47,0.39,2024-04-04,2035,N20,VIIRS,n,2,293.86,0.98,N,0
21.69655,72.60445,308.06,0.47,0.39,2024-04-04,2035,N20,VIIRS,n,2,293.29,0.98,N,0
